ID,Year,Group,Subgroup,Type,Subtype,Subsubtype,EventName,Country,ISO,Region,Continent,Location,Origin,AssociatedDis,AssociatedDis2,Declaration,AidContribution,DisMagValue,DisMagScale,Latitude,Longitude,LocalTime,RiverBasin,StartYear,StartMonth,StartDay,EndYear,EndMonth,EndDay,Deaths,Injuries,Affected,Homeless,TotalAffected,ReconstructionCosts,InsuredDamages,TotalDamages,GeoLocations
1991-0469-GHA,1991,Natural,Biological,Epidemic,Bacterial disease,,Cholera,Ghana,GHA,Western Africa,Africa,East Gonja,,,,,,,Vaccinated,,,,,1991,10,16,1991,10,16,20,,,,,,,,
1991-0467-GHA,1991,Technological,Technological,Transport accident,Road,,,Ghana,GHA,Western Africa,Africa,Near Akatsi,,,,No,,,,,,,,1991,12,24,1991,12,24,61,,,,,,,,
1991-0641-GHA,1991,Technological,Technological,Transport accident,Road,,,Ghana,GHA,Western Africa,Africa,Abofour,,,,,,,,,,,,1991,3,25,1991,3,25,23,,,,,,,,
1991-0034-GRC,1991,Natural,Meteorological,Extreme temperature,Cold wave,,,Greece,GRC,Southern Europe,Europe,,,,,,,-20,Â°C,,,,,1991,2,5,1991,2,5,5,,,,,,,,
1991-0037-GRC,1991,Technological,Technological,Transport accident,Air,,Herkules C-130,Greece,GRC,Southern Europe,Europe,Evia Isl.,,,,,,,,,,,,1991,2,5,1991,2,5,66,,,,,,,,
1991-0270-GRC,1991,Technological,Technological,Industrial accident,Gas leak,,,Greece,GRC,Southern Europe,Europe,Athens,,,,,,,m3,,,,,1991,6,19,1991,6,19,,,200,,200,,,,
1991-0046-GTM,1991,Natural,Geophysical,Mass movement (dry),Rockfall,,,Guatemala,GTM,Central America,Americas,Quetzaltenango province,,,,,,,,,,,,1991,1,6,1991,1,6,23,,,,,,,,
1991-0671-GTM,1991,Natural,Biological,Epidemic,Bacterial disease,,Cholera,Guatemala,GTM,Central America,Americas,,,,,,,,Vaccinated,,,,,1991,7,,1991,7,,180,,26800,,26800,,,,
1991-0557-GTM,1991,Technological,Technological,Industrial accident,Explosion,,Centrale gÃ©othermique,Guatemala,GTM,Central America,Americas,Zunil,,,,,,,m3,,,,,1991,1,5,1991,1,5,21,,,,,,,,
1991-0220-HKG,1991,Natural,Meteorological,Storm,Tropical cyclone,,Fred,Hong Kong,HKG,Eastern Asia,Asia,,,,,No,,,Kph,,,,,1991,8,15,1991,8,15,22,182,,,182,,,10000,
1991-0124-IDN,1991,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,Gorontalo area (Minahassa Peninsula),,,,No,,7,Richter,1.196 N,122.787 E,12:18,,1991,6,20,1991,6,20,,,1000,,1000,,,,
1991-0165-IDN,1991,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,Kalabahi (Alors district,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-0417-IDN,1991,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Lokon,Indonesia,IDN,South-Eastern Asia,Asia,Minahasa (Tomohon district,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-0512-IDN,1991,Natural,Hydrological,Flood,Riverine flood,,,Indonesia,IDN,South-Eastern Asia,Asia,Kalimatan province,,,,No,,,Km2,,,,,1991,6,6,1991,6,6,97,,,,,,,,
1991-0692-IDN,1991,Natural,Hydrological,Flood,Riverine flood,,,Indonesia,IDN,South-Eastern Asia,Asia,Riau,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-0010-IDN,1991,Natural,Hydrological,Landslide,Landslide,,,Indonesia,IDN,South-Eastern Asia,Asia,Java,,,,,,,,,,,,1991,1,16,1991,1,16,33,,,,,,,,
1991-0084-IDN,1991,Natural,Biological,Epidemic,Bacterial disease,,Cholera,Indonesia,IDN,South-Eastern Asia,Asia,Aceh province (North Sumatra),,,,,,,Vaccinated,,,,,1991,3,,1991,3,,55,,6000,,6000,,,,
1991-0668-IDN,1991,Natural,Biological,Epidemic,Bacterial disease,,Cholera,Indonesia,IDN,South-Eastern Asia,Asia,,,,,,,,Vaccinated,,,,,1991,1,,1991,1,,48,,,,,,,,
1991-0672-IDN,1991,Natural,Biological,Epidemic,Bacterial disease,,Cholera,Indonesia,IDN,South-Eastern Asia,Asia,Sumatra Centrale,,,,,,,Vaccinated,,,,,1991,8,,1991,8,,35,,,,,,,,
