studyCountry,studyCity,studyLon,studyLat,birthCountry,countryID,contactCountry,contactCity,contactLon,contactLat,weight,total_at_cp,country_at_cp,isBoth,
Ethiopia,Addis Ababa,38.7815,8.966,Eritrea,3,Eritrea,,37.9999668,15.9500319,3,5,5,0,
Italy,Turin,7.47211,45.1609,Eritrea,3,Eritrea,,37.9999668,15.9500319,1,5,5,0,
Italy,Udine,13.1961,46.0839,Eritrea,3,Eritrea,,37.9999668,15.9500319,1,5,5,0,
Italy,Turin,7.47211,45.1609,Eritrea,3,Ethiopia,,38.6521203,10.2116702,1,1,1,0,
Ethiopia,Addis Ababa,38.7815,8.966,Eritrea,3,Finland,,25.9209164,63.2467777,1,9,3,0,
Ethiopia,Afar,41.0236,12.1232,Eritrea,3,Finland,,25.9209164,63.2467777,1,9,3,0,
Jordan,Ajlun,35.761,32.2932,Syria,4,Finland,,25.9209164,63.2467777,2,9,4,0,
Greece,Athens Area,23.7997,38.0626,Afghanistan,1,Finland,,25.9209164,63.2467777,1,9,1,0,
Jordan,Irbid,35.8195,32.5559,Syria,4,Finland,,25.9209164,63.2467777,2,9,4,0,
Italy,Roma,12.7308,41.965,Eritrea,3,Finland,,25.9209164,63.2467777,1,9,3,0,
Italy,Turin,7.47211,45.1609,Gambia,99,Finland,,25.9209164,63.2467777,1,9,1,0,
Greece,Athens Area,23.7997,38.0626,Syria,4,France,,1.8883335,46.603354,2,20,3,0,
Italy,Imperia,7.81935,44.011,Pakistan,5,France,,1.8883335,46.603354,1,20,1,0,
Jordan,Mafraq,37.6195,32.2481,Syria,4,France,,1.8883335,46.603354,1,20,3,0,
Italy,Milano,9.1154,45.442,Cote d'Ivoire,99,France,,1.8883335,46.603354,1,20,14,0,
Italy,Reggio Emilia,10.6186,44.6699,Gambia,99,France,,1.8883335,46.603354,1,20,14,0,
Italy,Roma,12.7308,41.965,Guinea,99,France,,1.8883335,46.603354,1,20,14,0,
Ethiopia,Tigray,38.2158,14.1003,Eritrea,3,France,,1.8883335,46.603354,1,20,2,0,
Italy,Turin,7.47211,45.1609,Cote d'Ivoire,99,France,,1.8883335,46.603354,10,20,14,0,
Italy,Turin,7.47211,45.1609,Eritrea,3,France,,1.8883335,46.603354,1,20,2,0,
Italy,Vicenza,11.4753,45.712,Senegal,99,France,,1.8883335,46.603354,1,20,14,0,
Italy,Cuneo,7.63034,44.4862,Gambia,99,Gambia,,-15.4900464,13.470062,1,11,11,0,
Italy,Milano,9.1154,45.442,Gambia,99,Gambia,,-15.4900464,13.470062,2,11,11,0,
Italy,Padova,11.8371,45.361,Gambia,99,Gambia,,-15.4900464,13.470062,1,11,11,0,
Italy,Roma,12.7308,41.965,Gambia,99,Gambia,,-15.4900464,13.470062,2,11,11,0,
Italy,Turin,7.47211,45.1609,Gambia,99,Gambia,,-15.4900464,13.470062,5,11,11,0,
Ethiopia,Addis Ababa,38.7815,8.966,Eritrea,3,Germany,,10.4234469,51.0834196,3,112,14,0,
Ethiopia,Addis Ababa,38.7815,8.966,Ethiopia,99,Germany,,10.4234469,51.0834196,1,112,12,0,
Jordan,Ajlun,35.761,32.2932,Syria,4,Germany,,10.4234469,51.0834196,3,112,83,0,
Greece,Athens Area,23.7997,38.0626,Syria,4,Germany,,10.4234469,51.0834196,73,112,83,0,
Italy,Catania,14.969,37.5882,Eritrea,3,Germany,,10.4234469,51.0834196,1,112,14,0,
Jordan,Irbid,35.8195,32.5559,Syria,4,Germany,,10.4234469,51.0834196,5,112,83,0,
