submission;studyCountry;originCountry;siteType;IDPCamp;gender;age;maritalStatus;education;protectionStatus;Connectivity;Mobility;Marginalisation
SInt-AAU-Myk-014-ET;231;232;1;1;1;3;2;1;#NULL!;12;30;38
SInt-AAU-Myk-015-ET;231;232;1;1;1;2;1;0;#NULL!;5;20;31
SInt-AAU-Myk-016-ET;231;232;1;1;1;3;2;0;#NULL!;6;21;58
SInt-AAU-Myk-017-ET;231;232;1;1;1;2;2;0;#NULL!;7;25;43
SInt-AAU-Myk-018-ET;231;232;1;1;1;3;2;1;#NULL!;13;18;28
SInt-AAU-Myk-019-ET;231;232;1;1;1;2;1;1;#NULL!;8;16;39
SInt-AAU-Myk-020-ET;231;232;1;1;1;2;1;3;#NULL!;7;21;37
SInt-AAU-Myk-021-ET;231;232;1;1;1;2;1;1;#NULL!;30;21;38
SInt-AAU-Myk-022-ET;231;232;1;0;1;1;1;2;#NULL!;13;10;29
SInt-AAU-Myk-023-ET;231;232;1;1;1;3;2;1;#NULL!;6;16;48
SInt-AAU-Myk-024-ET;231;232;1;1;2;3;1;2;#NULL!;7;16;43
SInt-AAU-Myk-025-ET;231;232;1;1;1;3;1;1;#NULL!;14;16;26
SInt-AAU-Myk-026-ET;231;232;1;1;1;2;1;1;#NULL!;6;16;38
SInt-AAU-Myk-027-ET;231;232;1;1;2;3;2;1;#NULL!;4;16;44
SInt-AAU-Myk-029-ET;231;232;1;1;2;2;1;1;#NULL!;4;16;47
SInt-AAU-Myk-030-ET;231;232;1;0;1;2;1;3;#NULL!;5;19;53
SInt-AAU-Myk-031-ET;231;232;1;1;1;4;2;0;#NULL!;9;14;34
SInt-AAU-Myk-032-ET;231;232;1;1;2;4;2;0;#NULL!;15;14;42
SInt-AAU-Myk-033-ET;231;232;1;1;1;3;2;0;#NULL!;9;10;38
SInt-AAU-Myk-034-ET;231;232;1;1;2;3;2;0;#NULL!;4;17;39
SInt-AAU-Myk-035-ET;231;232;1;1;2;2;2;0;#NULL!;22;14;34
SInt-AAU-Myk-036-ET;231;232;1;1;1;4;2;0;#NULL!;9;19;45
SInt-AAU-Myk-037-ET;231;232;1;0;1;2;1;3;#NULL!;7;10;58
SInt-AAU-Myk-037-ET;231;232;1;0;1;3;2;3;#NULL!;5;15;37
SInt-AAU-Myk-038-ET;231;232;1;0;1;3;2;0;#NULL!;8;12;40
SInt-AAU-Myk-038-ET;231;232;1;0;1;4;2;0;#NULL!;4;14;34
SInt-AAU-Myk-039-ET;231;232;1;0;1;4;2;0;#NULL!;4;12;43
SInt-AAU-Myk-040-ET;231;232;1;0;1;2;1;3;#NULL!;6;10;43
SInt-AAU-Myk-041-ET;231;232;1;0;1;3;2;0;#NULL!;9;14;53
SInt-AAU-Myk-042-ET;231;232;1;0;1;2;2;3;#NULL!;6;12;34
SInt-AAU-Myk-043-ET;231;232;1;0;1;1;1;0;#NULL!;12;12;38
SInt-AAU-Myk-044-ET;231;232;1;0;1;3;4;1;#NULL!;22;20;34
SInt-AAU-Myk-045-ET;231;232;1;0;1;2;1;2;#NULL!;4;16;50
SInt-AAU-Myk-046-ET;231;232;1;0;1;2;2;0;#NULL!;9;14;36
SInt-AAU-Myk-049-ET;231;232;1;0;1;2;2;3;#NULL!;6;12;42
SInt-AAU-Myk-050-ET;231;232;1;0;1;3;2;0;#NULL!;11;12;44
SInt-AAU-Sgt-001-ET;231;232;1;0;1;3;1;3;2;53;15;51
SInt-AAU-Sgt-002-ET;231;232;1;0;1;2;1;3;2;37;21;49
SInt-AAU-Sgt-003-ET;231;232;1;0;1;3;1;3;#NULL!;51;21;53
SInt-AAU-Sgt-004-ET;231;232;1;0;2;2;2;2;2;45;26;49
SInt-AAU-Sgt-005-ET;231;232;1;0;2;2;1;1;2;55;21;57
SInt-AAU-Sgt-006-ET;231;232;1;0;2;2;2;2;2;49;26;55
SInt-AAU-Sgt-007-ET;231;232;1;0;2;2;1;1;2;45;26;55
SInt-AAU-Sgt-008-ET;231;999;1;0;2;3;1;2;#NULL!;37;30;45
SInt-AAU-Sgt-009-ET;231;232;1;0;1;2;3;3;#NULL!;8;30;52
SInt-AAU-Sgt-010-ET;231;232;1;0;1;2;1;2;2;9;15;50
SInt-AAU-Sgt-011-ET;231;999;1;0;2;2;2;2;2;48;20;39
SInt-AAU-Sgt-012-ET;231;232;1;0;2;3;2;1;2;46;26;55
SInt-AAU-Sgt-013-ET;231;232;1;0;1;1;1;1;2;42;20;31
SInt-AAU-Sgt-014-ET;231;232;1;0;1;2;1;1;#NULL!;14;21;23
SInt-AAU-Sgt-015-ET;231;232;1;0;2;2;2;2;2;46;26;29
SInt-AAU-Sgt-016-ET;231;232;1;0;2;2;2;2;2;38;17;40
SInt-AAU-Sgt-017-ET;231;232;1;0;2;2;1;1;2;25;31;32
SInt-AAU-Sgt-018-ET;231;232;1;0;2;2;1;2;2;50;27;33
SInt-AAU-Sgt-019-ET;231;232;1;0;1;3;2;1;2;34;21;59
SInt-AAU-Sgt-020-ET;231;232;1;0;2;2;2;2;2;37;22;49
SInt-AAU-Sgt-021-ET;231;232;1;0;2;5;1;0;#NULL!;45;16;35
SInt-AAU-Sgt-022-ET;231;232;1;0;1;4;2;1;2;37;15;39
SInt-AAU-Sgt-023-ET;231;232;1;0;2;2;1;3;2;24;18;52
SInt-AAU-Sgt-024-ET;231;232;1;0;2;2;2;2;2;49;27;39
SInt-AAU-Sgt-025-ET;231;232;1;0;1;5;2;0;2;9;17;39
SInt-AAU-Sgt-026-ET;231;232;1;0;1;5;2;3;1;10;16;49
SInt-AAU-Sgt-027-ET;231;232;1;0;1;5;2;1;2;52;17;39
SInt-AAU-Sgt-028-ET;231;232;1;0;1;1;1;1;2;27;26;27
SInt-AAU-Sgt-029-ET;231;232;1;0;1;3;2;2;2;31;22;45
SInt-AAU-Sgt-030-ET;231;232;1;0;2;2;2;1;2;37;26;37
SInt-AAU-Sgt-031-ET;231;232;1;0;1;2;1;2;2;26;37;57
